EventTime,BaselineHazardIncrement,CumulativeBaselineHazard
5.0,0.000978353937279916,0.000978353937279916
10.0,0.0009879403778071066,0.001966294315087023
11.0,0.000991966696386275,0.002958261011473298
12.0,0.0010124217372074506,0.003970682748680748
13.0,0.0030503413388795224,0.0070210240875602705
14.0,0.0010292895073093714,0.008050313594869641
15.0,0.004142509992320726,0.012192823587190368
16.0,0.002101915351055953,0.01429473893824632
19.0,0.0021372368244291806,0.0164319757626755
20.0,0.0032303122063113573,0.019662287968986857
21.0,0.001100931517138017,0.020763219486124872
22.0,0.0033640737944834894,0.02412729328060836
23.0,0.0034145040442994314,0.02754179732490779
24.0,0.005760600208030072,0.033302397532937865
25.0,0.0012130140381910928,0.03451541157112896
26.0,0.0036745986786695228,0.038190010249798484
27.0,0.0025536655742058488,0.04074367582400433
28.0,0.0026144696499591715,0.0433581454739635
29.0,0.001320269077721672,0.044678414551685176
30.0,0.003983140611379947,0.048661555163065126
31.0,0.002782330500380076,0.0514438856634452
32.0,0.0014180334660440991,0.0528619191294893
33.0,0.00426979641565683,0.05713171554514613
34.0,0.0029040162485107477,0.06003573179365688
35.0,0.005906636792560277,0.06594236858621716
36.0,0.009125227350386287,0.07506759593660345
37.0,0.0047850041876080504,0.0798526001242115
38.0,0.004830146980757909,0.08468274710496941
39.0,0.0016799580077272768,0.08636270511269668
40.0,0.006773394277641456,0.09313609939033814
41.0,0.003428762801859555,0.09656486219219769
42.0,0.005264633575138516,0.1018294957673362
43.0,0.0017848655993024287,0.10361436136663862
44.0,0.007351280258768643,0.11096564162540727
45.0,0.0038121416415162466,0.11477778326692352
46.0,0.009549661413895903,0.12432744468081942
47.0,0.010146660239527013,0.13447410492034645
48.0,0.006274996495945281,0.14074910141629174
49.0,0.004300308298709396,0.14504940971500113
50.0,0.004432478481659449,0.14948188819666058
51.0,0.004598495729851999,0.15408038392651258
53.0,0.004907108902564256,0.15898749282907684
56.0,0.0026824072354126372,0.16166990006448947
57.0,0.008259527564400205,0.16992942762888968
60.0,0.006346683368015655,0.17627611099690535
65.0,0.00788009081762415,0.1841562018145295
68.0,0.005206157542345348,0.18936235935687484
